altitude_m,temperature_k,pressure_pa,density_kg_m3,wind_u_ms,wind_v_ms,wind_w_ms
1324,287.15,85000,1.02,-3.5,4.1,0.0
2000,283.35,79000,0.97,-4.0,5.2,0.0
3000,278.35,70700,0.90,-5.2,7.1,0.0
4000,273.15,63000,0.82,-7.4,9.5,0.0
5000,268.15,56000,0.75,-10.1,12.0,0.0
6000,262.15,49400,0.68,-14.0,14.3,0.0
8000,251.15,38000,0.55,-18.5,17.2,0.0
10000,241.15,28700,0.44,-22.0,19.8,0.0
12000,230.65,21300,0.34,-25.5,22.4,0.0
15000,216.65,12100,0.21,-30.0,25.0,0.0
18000,216.65,7500,0.13,-35.0,28.4,0.0
21000,218.65,4700,0.08,-39.0,31.5,0.0
24000,222.65,3000,0.05,-42.0,34.0,0.0
27000,227.65,1900,0.03,-45.0,36.0,0.0
30000,233.65,1200,0.02,-48.0,38.0,0.0
